"ESET","Experiment","Timestamp","MatFile"
"T_Re_Sq_0to250PWM_30#C_Bl_7PWM","GMR61@GMR61_T_Re_Sq_0to250PWM_30#C_Bl_7PWM_202510291652","202510291652","btd_GMR61@GMR61_T_Re_Sq_0to250PWM_30#C_Bl_7PWM_202510291652.mat"
"T_Re_Sq_0to250PWM_30#C_Bl_7PWM","GMR61@GMR61_T_Re_Sq_0to250PWM_30#C_Bl_7PWM_202510291713","202510291713","btd_GMR61@GMR61_T_Re_Sq_0to250PWM_30#C_Bl_7PWM_202510291713.mat"
"T_Re_Sq_0to250PWM_30#C_Bl_7PWM","GMR61@GMR61_T_Re_Sq_0to250PWM_30#C_Bl_7PWM_202510301228","202510301228","btd_GMR61@GMR61_T_Re_Sq_0to250PWM_30#C_Bl_7PWM_202510301228.mat"
"T_Re_Sq_0to250PWM_30#C_Bl_7PWM","GMR61@GMR61_T_Re_Sq_0to250PWM_30#C_Bl_7PWM_202510301408","202510301408","btd_GMR61@GMR61_T_Re_Sq_0to250PWM_30#C_Bl_7PWM_202510301408.mat"
"T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30","GMR61@GMR61_T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30_202510301513","202510301513","btd_GMR61@GMR61_T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30_202510301513.mat"
"T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30","GMR61@GMR61_T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30_202510311441","202510311441","btd_GMR61@GMR61_T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30_202510311441.mat"
"T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30","GMR61@GMR61_T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30_202510311510","202510311510","btd_GMR61@GMR61_T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30_202510311510.mat"
"T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30","GMR61@GMR61_T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30_202510311634","202510311634","btd_GMR61@GMR61_T_Re_Sq_0to250PWM_30#T_Bl_Sq_5to15PWM_30_202510311634.mat"
"T_Re_Sq_50to250PWM_30#C_Bl_7PWM","GMR61@GMR61_T_Re_Sq_50to250PWM_30#C_Bl_7PWM_202510291435","202510291435","btd_GMR61@GMR61_T_Re_Sq_50to250PWM_30#C_Bl_7PWM_202510291435.mat"
"T_Re_Sq_50to250PWM_30#C_Bl_7PWM","GMR61@GMR61_T_Re_Sq_50to250PWM_30#C_Bl_7PWM_202510291502","202510291502","btd_GMR61@GMR61_T_Re_Sq_50to250PWM_30#C_Bl_7PWM_202510291502.mat"
"T_Re_Sq_50to250PWM_30#C_Bl_7PWM","GMR61@GMR61_T_Re_Sq_50to250PWM_30#C_Bl_7PWM_202510291532","202510291532","btd_GMR61@GMR61_T_Re_Sq_50to250PWM_30#C_Bl_7PWM_202510291532.mat"
"T_Re_Sq_50to250PWM_30#C_Bl_7PWM","GMR61@GMR61_T_Re_Sq_50to250PWM_30#C_Bl_7PWM_202510291601","202510291601","btd_GMR61@GMR61_T_Re_Sq_50to250PWM_30#C_Bl_7PWM_202510291601.mat"
"T_Re_Sq_50to250PWM_30#T_Bl_Sq_5to15PWM_30","GMR61@GMR61_T_Re_Sq_50to250PWM_30#T_Bl_Sq_5to15PWM_30_202511051636","202511051636","btd_GMR61@GMR61_T_Re_Sq_50to250PWM_30#T_Bl_Sq_5to15PWM_30_202511051636.mat"
"T_Re_Sq_50to250PWM_30#T_Bl_Sq_5to15PWM_30","GMR61@GMR61_T_Re_Sq_50to250PWM_30#T_Bl_Sq_5to15PWM_30_202511051713","202511051713","btd_GMR61@GMR61_T_Re_Sq_50to250PWM_30#T_Bl_Sq_5to15PWM_30_202511051713.mat"
